time_window_start,time_window_end,mix_of_products,total_unique_users,total_unique_users_conversions,total_unique_users_not_converted,total_conversions,ntb_conversions,sales_amount,adsp_sales,sp_sales,overall_adsp_impressions,overall_adsp_clicks,overall_adsp_unique_users,overall_adsp_cost,converted_adsp_impressions,converted_adsp_unique_users,converted_adsp_cost,adsp_roas,overall_sp_impressions,overall_sp_clicks,overall_sp_unique_users,overall_sp_cost,converted_sp_impressions,converted_sp_clicks,converted_sp_unique_users,converted_sp_cost,sp_roas,total_records,combined_roas
2021-07-25T00:00:00.000Z,2021-07-31T00:00:00.000Z,SP + ADSP,734699,21022,713677,22335,3161,288748.4,88696.57,200051.83,3213990,18691,734844,18964.70518,100385,21167,680.25304,4.676928492,11388997,51827,734844,152624.58,965891,17299,21167,49819.89,1.310745,734844,1.682788058
2021-07-25T00:00:00.000Z,2021-07-31T00:00:00.000Z,NOT FOUND IN ADSP OR SP,0,0,0,,,,0,0,850,2,1,,0,0,,,1977,7,1,,0,0,0,,,0,
2021-07-25T00:00:00.000Z,2021-07-31T00:00:00.000Z,SP,2508741,18395,2490346,19280,460,257493.74,19306.02,238187.72,,,0,,0,0,0,,18230268,55623,2508754,138514.24,568772,18508,18408,44764.01,1.71959,2508754,
2021-07-25T00:00:00.000Z,2021-07-31T00:00:00.000Z,ADSP,4324943,1859,4323084,1908,472,23252.93,17397.6,5855.33,14108918,6285,4324946,88205.13007,9931,1862,65.70766,0.197240228,,,0,,0,0,0,0,,4324946,
